Survived,new_initials,Pclass,Age,SibSp,Parch,Fare,Cabin,initials,female,male,Embarked_enc
0, Mr,3,22.0,1,0,7.25,0, Mr,0.0,1.0,2
1, Mrs,1,38.0,1,0,71.2833,1, Mrs,1.0,0.0,0
1, Miss,3,26.0,0,0,7.925,0, Miss,1.0,0.0,2
1, Mrs,1,35.0,1,0,53.1,1, Mrs,1.0,0.0,2
0, Mr,3,35.0,0,0,8.05,0, Mr,0.0,1.0,2
0, Mr,3,30.707422907488983,0,0,8.4583,0, Mr,0.0,1.0,1
0, Mr,1,54.0,0,0,51.8625,1, Mr,0.0,1.0,2
0, Master,3,2.0,3,1,21.075,0, Master,0.0,1.0,2
1, Mrs,3,27.0,0,2,11.1333,0, Mrs,1.0,0.0,2
1, Mrs,2,14.0,1,0,30.0708,0, Mrs,1.0,0.0,0
1, Miss,3,4.0,1,1,16.7,1, Miss,1.0,0.0,2
1, Miss,1,58.0,0,0,26.55,1, Miss,1.0,0.0,2
0, Mr,3,20.0,0,0,8.05,0, Mr,0.0,1.0,2
0, Mr,3,39.0,1,5,31.275,0, Mr,0.0,1.0,2
0, Miss,3,14.0,0,0,7.8542,0, Miss,1.0,0.0,2
1, Mrs,2,55.0,0,0,16.0,0, Mrs,1.0,0.0,2
0, Master,3,2.0,4,1,29.125,0, Master,0.0,1.0,1
1, Mr,2,30.707422907488983,0,0,13.0,0, Mr,0.0,1.0,2
0, Mrs,3,31.0,1,0,18.0,0, Mrs,1.0,0.0,2
1, Mrs,3,27.77906976744186,0,0,7.225,0, Mrs,1.0,0.0,0
0, Mr,2,35.0,0,0,26.0,0, Mr,0.0,1.0,2
1, Mr,2,34.0,0,0,13.0,1, Mr,0.0,1.0,2
1, Miss,3,15.0,0,0,8.0292,0, Miss,1.0,0.0,1
1, Mr,1,28.0,0,0,35.5,1, Mr,0.0,1.0,2
0, Miss,3,8.0,3,1,21.075,0, Miss,1.0,0.0,2
1, Mrs,3,38.0,1,5,31.3875,0, Mrs,1.0,0.0,2
0, Mr,3,30.707422907488983,0,0,7.225,0, Mr,0.0,1.0,0
1, Miss,3,27.77906976744186,0,0,7.8792,0, Miss,1.0,0.0,1
0, Mr,3,30.707422907488983,0,0,7.8958,0, Mr,0.0,1.0,2
0, Don,1,40.0,0,0,27.7208,0, Don,0.0,1.0,0
1, Mrs,1,27.77906976744186,1,0,146.5208,1, Mrs,1.0,0.0,0
1, Miss,3,27.77906976744186,0,0,7.75,0, Miss,1.0,0.0,1
0, Mr,2,66.0,0,0,10.5,0, Mr,0.0,1.0,2
0, Mr,1,28.0,1,0,82.1708,0, Mr,0.0,1.0,0
0, Mr,1,42.0,1,0,52.0,0, Mr,0.0,1.0,2
1, Mr,3,30.707422907488983,0,0,7.2292,0, Mr,0.0,1.0,0
0, Mr,3,21.0,0,0,8.05,0, Mr,0.0,1.0,2
0, Miss,3,18.0,2,0,18.0,0, Miss,1.0,0.0,2
1, Miss,3,14.0,1,0,11.2417,0, Miss,1.0,0.0,0
0, Mrs,3,40.0,1,0,9.475,0, Mrs,1.0,0.0,2
0, Mrs,2,27.0,1,0,21.0,0, Mrs,1.0,0.0,2
0, Mr,3,30.707422907488983,0,0,7.8958,0, Mr,0.0,1.0,0
1, Miss,2,3.0,1,2,41.5792,0, Miss,1.0,0.0,0
1, Miss,3,19.0,0,0,7.8792,0, Miss,1.0,0.0,1
0, Mr,3,30.707422907488983,0,0,8.05,0, Mr,0.0,1.0,2
0, Mr,3,30.707422907488983,1,0,15.5,0, Mr,0.0,1.0,1
1, Miss,3,27.77906976744186,0,0,7.75,0, Miss,1.0,0.0,1
0, Mr,3,30.707422907488983,2,0,21.6792,0, Mr,0.0,1.0,0
0, Mrs,3,18.0,1,0,17.8,0, Mrs,1.0,0.0,2
0, Master,3,7.0,4,1,39.6875,0, Master,0.0,1.0,2
0, Mr,3,21.0,0,0,7.8,0, Mr,0.0,1.0,2
1, Mrs,1,49.0,1,0,76.7292,1, Mrs,1.0,0.0,0
1, Mrs,2,29.0,1,0,26.0,0, Mrs,1.0,0.0,2
0, Mr,1,65.0,0,1,61.9792,1, Mr,0.0,1.0,0
1, Mr,1,30.707422907488983,0,0,35.5,1, Mr,0.0,1.0,2
1, Miss,2,21.0,0,0,10.5,0, Miss,1.0,0.0,2
0, Mr,3,28.5,0,0,7.2292,0, Mr,0.0,1.0,0
1, Miss,2,5.0,1,2,27.75,0, Miss,1.0,0.0,2
0, Master,3,11.0,5,2,46.9,0, Master,0.0,1.0,2
0, Mr,3,22.0,0,0,7.2292,0, Mr,0.0,1.0,0
0, Mr,1,45.0,1,0,83.475,1, Mr,0.0,1.0,2
0, Master,3,4.0,3,2,27.9,0, Master,0.0,1.0,2
0, Mr,1,30.707422907488983,0,0,27.7208,0, Mr,0.0,1.0,0
1, Master,3,30.707422907488983,1,1,15.2458,0, Master,0.0,1.0,0
1, Mrs,2,29.0,0,0,10.5,1, Mrs,1.0,0.0,2
0, Mr,3,19.0,0,0,8.1583,0, Mr,0.0,1.0,2
1, Miss,3,17.0,4,2,7.925,0, Miss,1.0,0.0,2
0, Mr,3,26.0,2,0,8.6625,0, Mr,0.0,1.0,2
0, Mr,2,32.0,0,0,10.5,0, Mr,0.0,1.0,2
0, Miss,3,16.0,5,2,46.9,0, Miss,1.0,0.0,2
0, Mr,2,21.0,0,0,73.5,0, Mr,0.0,1.0,2
0, Mr,3,26.0,1,0,14.4542,0, Mr,0.0,1.0,0
1, Mr,3,32.0,0,0,56.4958,0, Mr,0.0,1.0,2
0, Mr,3,25.0,0,0,7.65,1, Mr,0.0,1.0,2
0, Mr,3,30.707422907488983,0,0,7.8958,0, Mr,0.0,1.0,2
0, Mr,3,30.707422907488983,0,0,8.05,0, Mr,0.0,1.0,2
1, Master,2,0.83,0,2,29.0,0, Master,0.0,1.0,2
1, Miss,3,30.0,0,0,12.475,0, Miss,1.0,0.0,2
0, Mr,3,22.0,0,0,9.0,0, Mr,0.0,1.0,2
1, Mr,3,29.0,0,0,9.5,0, Mr,0.0,1.0,2
1, Miss,3,27.77906976744186,0,0,7.7875,0, Miss,1.0,0.0,1
0, Mr,1,28.0,0,0,47.1,0, Mr,0.0,1.0,2
1, Miss,2,17.0,0,0,10.5,0, Miss,1.0,0.0,2
1, Mrs,3,33.0,3,0,15.85,0, Mrs,1.0,0.0,2
0, Mr,3,16.0,1,3,34.375,0, Mr,0.0,1.0,2
0, Mr,3,30.707422907488983,0,0,8.05,0, Mr,0.0,1.0,2
0, Mr,3,24.0,0,0,8.05,0, Mr,0.0,1.0,2
0, Mr,3,29.0,0,0,8.05,0, Mr,0.0,1.0,2
0, Mr,3,20.0,0,0,7.8542,0, Mr,0.0,1.0,2
0, Mr,1,46.0,1,0,61.175,1, Mr,0.0,1.0,2
0, Mr,3,26.0,1,2,20.575,0, Mr,0.0,1.0,2
0, Mr,3,59.0,0,0,7.25,0, Mr,0.0,1.0,2
0, Mr,3,30.707422907488983,0,0,8.05,0, Mr,0.0,1.0,2
0, Mr,1,71.0,0,0,34.6542,1, Mr,0.0,1.0,0
1, Mr,1,23.0,0,1,63.3583,1, Mr,0.0,1.0,0
1, Mrs,2,34.0,0,1,23.0,0, Mrs,1.0,0.0,2
0, Mr,2,34.0,1,0,26.0,0, Mr,0.0,1.0,2
0, Miss,3,28.0,0,0,7.8958,0, Miss,1.0,0.0,2
